Name,TOPDAM_FT,Lon,Lat
Mississippi River LD1,732.7,44.915,-93.2016
Kanopolis,1537,38.61941732,-97.96874986
Homme,1099,48.40468234,-97.79128719
Benbrook,747,32.65374626,-97.45563026
Whitney,584,31.86764781,-97.37049823
Grapevine,588,32.96985908,-97.05621136
Belton,662,31.10851643,-97.47267685
Lewisville,560,33.06931527,-96.96453947
Pomme De Terre,905,37.90074832,-93.32050796
Pomona,1031,38.65079293,-95.55868977
Salt Creek 8 - Wagon Train,1312,40.6199,-96.5833
W. Kerr Scott,1107.5,36.13441524,-81.22596408
Salt Creek 9 - Stagecoach,1294,40.605,-96.6366
Canyon,974,29.8666,-98.1999
Salt Creek 13 - Twin Lakes,1364,40.825,-96.9566
Pawnee,1271,40.83880665,-96.86559467
Bardwell,460,32.25097428,-96.64137346
Sam Rayburn,190,31.06445615,-94.09252964
Milford,1213,39.083328,-96.894997
Somerville,280,30.32040153,-96.52409137
Eau Galle,1040.15,44.85593096,-92.23968034
Stillhouse Hollow,698,31.02244705,-97.53110592
Bowman Haley,2794,45.9816,-103.2467
Melvern,1078,38.51441374,-95.7130005
Anchor,6452.5,43.6639,-108.8242
Folsom,480.5,38.683,-121.183
Sherburne,4816.5,48.8283,-113.5211
Heart Butte,2124,46.5967,-101.8094
Lewiston,1910,40.727,-122.793
Ruedi,7788,39.3639,-106.818
Spring Creek Debris,816,40.629,-122.474
Starvation,5725,40.19324,-110.44722
Whiskeytown,1228,40.598,-122.537
